iomode,bandwidth,total_size,block_size,latency
1,10000,4294967296,131072,35.328078508377075
1,10000,4294967296,262144,17.554449558258057
1,10000,4294967296,524288,13.112571239471436
1,10000,4294967296,1048576,10.550936937332153
1,10000,4294967296,2097152,9.614533185958862
1,10000,4294967296,4194304,7.782643556594849
1,10000,4294967296,8388608,6.67559552192688
1,10000,4294967296,16777216,5.432448863983154
1,10000,4294967296,33554432,6.023524761199951
1,10000,4294967296,67108864,5.5774149894714355
1,10000,4294967296,134217728,5.476149082183838
1,10000,4294967296,268435456,4.841377019882202
1,10000,4294967296,536870912,4.847345590591431
1,10000,4294967296,1073741824,5.901852369308472
