iomode,bandwidth,total_size,block_size,latency
1,2000,2147483648,131072,19.960251092910767
1,2000,2147483648,262144,51.30396485328674
1,2000,2147483648,524288,13.30540132522583
1,2000,2147483648,1048576,23.349789142608643
1,2000,2147483648,2097152,17.748541355133057
1,2000,2147483648,4194304,11.61836314201355
1,2000,2147483648,8388608,10.431374788284302
1,2000,2147483648,16777216,18.938777923583984
1,2000,2147483648,33554432,10.370590686798096
1,2000,2147483648,67108864,9.412333965301514
1,2000,2147483648,134217728,21.839019060134888
1,2000,2147483648,268435456,37.010289669036865
1,2000,2147483648,536870912,9.459491968154907
1,2000,2147483648,1073741824,9.727863550186157
