iomode,bandwidth,total_size,block_size,latency
1,10000,1073741824,131072,6.401779651641846
1,10000,1073741824,262144,3.443345069885254
1,10000,1073741824,524288,3.6734464168548584
1,10000,1073741824,1048576,2.727123498916626
1,10000,1073741824,2097152,2.4850189685821533
1,10000,1073741824,4194304,1.8856112957000732
1,10000,1073741824,8388608,1.4080405235290527
1,10000,1073741824,16777216,1.7590653896331787
1,10000,1073741824,33554432,1.7294013500213623
1,10000,1073741824,67108864,1.6266300678253174
1,10000,1073741824,134217728,1.504908800125122
1,10000,1073741824,268435456,1.4470937252044678
1,10000,1073741824,536870912,1.2091259956359863
1,10000,1073741824,1073741824,1.3650400638580322
