iomode,bandwidth,total_size,block_size,latency
1,6000,1073741824,131072,6.548306465148926
1,6000,1073741824,262144,7.899750232696533
1,6000,1073741824,524288,3.597499132156372
1,6000,1073741824,1048576,2.923213481903076
1,6000,1073741824,2097152,4.2830281257629395
1,6000,1073741824,4194304,3.2115747928619385
1,6000,1073741824,8388608,2.8270084857940674
1,6000,1073741824,16777216,1.7047808170318604
1,6000,1073741824,33554432,1.7369720935821533
1,6000,1073741824,67108864,3.4835586547851562
1,6000,1073741824,134217728,2.0774013996124268
1,6000,1073741824,268435456,1.8918159008026123
1,6000,1073741824,536870912,1.6204819679260254
1,6000,1073741824,1073741824,3.581273317337036
