threadpool_size,block_size,batch_completion_time
8,60,1.1462840652277348
4,280,1.1523948799480093
2,80,1.1365148639490483
4,300,1.1679536527481633
1,60,1.116675023504868
2,100,1.2433924194381172
2,180,1.1225133469924624
4,160,1.1558013103696196
1,260,1.1631608298723248
1,180,1.15015345034392
