threadpool_size,block_size,batch_completion_time
4,280,1.3753041377651831
2,160,1.3922641126534685
4,280,1.4084726765221758
8,100,1.377518136981919
1,80,1.3819145185674133
4,200,1.4145687389750725
8,260,1.3706672899964927
4,40,1.4207940836668957
2,260,1.3631307534549548
4,40,1.3296304912906391
