iomode,bandwidth,total_size,block_size,latency
1,5000,4294967296,131072,16.215707540512085
1,5000,4294967296,262144,12.833491086959839
1,5000,4294967296,524288,14.211144208908081
1,5000,4294967296,1048576,9.868797302246094
1,5000,4294967296,2097152,9.42220664024353
1,5000,4294967296,4194304,9.051308155059814
1,5000,4294967296,8388608,9.426119089126587
1,5000,4294967296,16777216,7.521662950515747
1,5000,4294967296,33554432,7.539238691329956
1,5000,4294967296,67108864,7.432765483856201
1,5000,4294967296,134217728,8.411162614822388
1,5000,4294967296,268435456,7.345229625701904
1,5000,4294967296,536870912,7.336423873901367
1,5000,4294967296,1073741824,7.297688245773315
