iomode,bandwidth,total_size,block_size,latency
0,17000,4294967296,131072,1.0207443237304688
0,17000,4294967296,262144,0.8026325702667236
0,17000,4294967296,524288,0.6789250373840332
0,17000,4294967296,1048576,0.6329159736633301
0,17000,4294967296,2097152,0.5837197303771973
0,17000,4294967296,4194304,0.5753099918365479
0,17000,4294967296,8388608,0.6793704032897949
0,17000,4294967296,16777216,0.752305269241333
0,17000,4294967296,33554432,1.693556308746338
0,17000,4294967296,67108864,1.893951654434204
0,17000,4294967296,134217728,1.8986878395080566
0,17000,4294967296,268435456,1.7582676410675049
0,17000,4294967296,536870912,2.0616884231567383
0,17000,4294967296,1073741824,2.2956080436706543
