iomode,bandwidth,total_size,block_size,latency
1,5000,1073741824,131072,3.664402484893799
1,5000,1073741824,262144,2.9996793270111084
1,5000,1073741824,524288,14.467067003250122
1,5000,1073741824,1048576,2.385390043258667
1,5000,1073741824,2097152,3.250908136367798
1,5000,1073741824,4194304,3.567596435546875
1,5000,1073741824,8388608,3.2991490364074707
1,5000,1073741824,16777216,1.8872272968292236
1,5000,1073741824,33554432,3.4219017028808594
1,5000,1073741824,67108864,3.191793918609619
1,5000,1073741824,134217728,1.8404090404510498
1,5000,1073741824,268435456,1.8366680145263672
1,5000,1073741824,536870912,4.013686180114746
1,5000,1073741824,1073741824,1.815803050994873
