iomode,bandwidth,total_size,block_size,latency
1,15000,8589934592,131072,32.59173011779785
1,15000,8589934592,262144,19.388851642608643
1,15000,8589934592,524288,14.710262298583984
1,15000,8589934592,1048576,11.074528217315674
1,15000,8589934592,2097152,10.66478705406189
1,15000,8589934592,4194304,7.794291973114014
1,15000,8589934592,8388608,7.448777437210083
1,15000,8589934592,16777216,7.1160337924957275
1,15000,8589934592,33554432,7.23978066444397
1,15000,8589934592,67108864,6.833165407180786
1,15000,8589934592,134217728,6.7956862449646
1,15000,8589934592,268435456,6.9635961055755615
1,15000,8589934592,536870912,6.629192590713501
1,15000,8589934592,1073741824,6.552089214324951
