iomode,bandwidth,total_size,block_size,latency
1,7000,2147483648,131072,8.008854150772095
1,7000,2147483648,262144,5.4376091957092285
1,7000,2147483648,524288,4.4542412757873535
1,7000,2147483648,1048576,3.9904065132141113
1,7000,2147483648,2097152,3.7549257278442383
1,7000,2147483648,4194304,3.1860227584838867
1,7000,2147483648,8388608,2.888538122177124
1,7000,2147483648,16777216,2.7710089683532715
1,7000,2147483648,33554432,2.777207851409912
1,7000,2147483648,67108864,2.7353100776672363
1,7000,2147483648,134217728,3.0244226455688477
1,7000,2147483648,268435456,3.0026235580444336
1,7000,2147483648,536870912,2.6450908184051514
1,7000,2147483648,1073741824,2.6471424102783203
