iomode,bandwidth,total_size,block_size,latency
1,11000,2147483648,131072,6.3331029415130615
1,11000,2147483648,262144,4.7304301261901855
1,11000,2147483648,524288,3.4921343326568604
1,11000,2147483648,1048576,2.965674877166748
1,11000,2147483648,2097152,2.779374837875366
1,11000,2147483648,4194304,2.2342100143432617
1,11000,2147483648,8388608,1.9706916809082031
1,11000,2147483648,16777216,1.8872153759002686
1,11000,2147483648,33554432,1.9184281826019287
1,11000,2147483648,67108864,1.8077216148376465
1,11000,2147483648,134217728,1.8462400436401367
1,11000,2147483648,268435456,1.801037311553955
1,11000,2147483648,536870912,1.8532772064208984
1,11000,2147483648,1073741824,1.7358202934265137
