iomode,bandwidth,total_size,block_size,latency
1,3000,4294967296,131072,79.10212683677673
1,3000,4294967296,157286,82.58996915817261
1,3000,4294967296,188743,71.38202619552612
1,3000,4294967296,226492,63.68977999687195
1,3000,4294967296,271790,57.708744049072266
1,3000,4294967296,326149,42.087892293930054
1,3000,4294967296,391378,38.007179737091064
1,3000,4294967296,469654,31.133885145187378
1,3000,4294967296,563585,32.95938563346863
1,3000,4294967296,676302,30.46087336540222
1,3000,4294967296,811563,26.65156865119934
1,3000,4294967296,973875,21.05517029762268
1,3000,4294967296,1168651,25.18308973312378
1,3000,4294967296,1402381,21.2158944606781
1,3000,4294967296,1682857,21.744476318359375
1,3000,4294967296,2019429,18.569159746170044
1,3000,4294967296,2423314,19.43765163421631
1,3000,4294967296,2907977,16.779184103012085
1,3000,4294967296,3489573,16.160492420196533
1,3000,4294967296,4187488,18.206640243530273
1,3000,4294967296,5024985,16.158179998397827
1,3000,4294967296,6029983,15.795257091522217
1,3000,4294967296,7235979,17.207038640975952
1,3000,4294967296,8683175,14.054235696792603
1,3000,4294967296,10419810,13.30585241317749
1,3000,4294967296,12503772,14.428945779800415
1,3000,4294967296,15004527,12.841894149780273
1,3000,4294967296,18005432,17.202115058898926
1,3000,4294967296,21606519,12.657217264175415
1,3000,4294967296,25927823,13.880190134048462
1,3000,4294967296,31113388,12.435580730438232
1,3000,4294967296,37336065,15.566033840179443
1,3000,4294967296,44803279,12.470293521881104
1,3000,4294967296,53763934,12.392397165298462
1,3000,4294967296,64516721,15.029821872711182
1,3000,4294967296,77420066,12.330842733383179
1,3000,4294967296,92904079,12.323426485061646
1,3000,4294967296,111484895,15.136421918869019
1,3000,4294967296,133781874,21.52558469772339
1,3000,4294967296,160538249,11.963257312774658
1,3000,4294967296,192645898,12.199502229690552
1,3000,4294967296,231175078,11.926980257034302
1,3000,4294967296,277410094,22.056116819381714
1,3000,4294967296,332892113,11.433169841766357
1,3000,4294967296,399470536,20.96788763999939
1,3000,4294967296,479364643,17.229639530181885
1,3000,4294967296,575237571,11.698802947998047
1,3000,4294967296,690285086,18.445663690567017
1,3000,4294967296,828342103,23.603541374206543
1,3000,4294967296,994010524,21.33445715904236
