iomode,bandwidth,total_size,block_size,latency
0,10000,4294967296,131072,1.3359131813049316
0,10000,4294967296,157286,1.1809654235839844
0,10000,4294967296,188743,1.098900318145752
0,10000,4294967296,226492,1.015268087387085
0,10000,4294967296,271790,1.1952030658721924
0,10000,4294967296,326149,0.9359517097473145
0,10000,4294967296,391378,0.891657829284668
0,10000,4294967296,469654,0.8892009258270264
0,10000,4294967296,563585,1.2625758647918701
0,10000,4294967296,676302,0.829261064529419
0,10000,4294967296,811563,1.072296380996704
0,10000,4294967296,973875,0.7706003189086914
0,10000,4294967296,1168651,1.2043540477752686
0,10000,4294967296,1402381,1.413928508758545
0,10000,4294967296,1682857,3.4960010051727295
0,10000,4294967296,2019429,1.2999823093414307
0,10000,4294967296,2423314,2.5805788040161133
0,10000,4294967296,2907977,1.7217445373535156
0,10000,4294967296,3489573,8.788676977157593
0,10000,4294967296,4187488,2.3946330547332764
0,10000,4294967296,5024985,4.502944469451904
0,10000,4294967296,6029983,5.523985147476196
0,10000,4294967296,7235979,4.8347084522247314
0,10000,4294967296,8683175,8.117878198623657
0,10000,4294967296,10419810,11.840692520141602
0,10000,4294967296,12503772,10.365217685699463
0,10000,4294967296,15004527,10.1391122341156
0,10000,4294967296,18005432,12.176649570465088
0,10000,4294967296,21606519,11.838837385177612
0,10000,4294967296,25927823,11.48277235031128
0,10000,4294967296,31113388,12.164407968521118
0,10000,4294967296,37336065,12.058847427368164
0,10000,4294967296,44803279,12.07182002067566
0,10000,4294967296,53763934,11.845176696777344
0,10000,4294967296,64516721,11.983357191085815
0,10000,4294967296,77420066,11.792285919189453
0,10000,4294967296,92904079,11.834302186965942
0,10000,4294967296,111484895,11.71738314628601
0,10000,4294967296,133781874,11.582305431365967
0,10000,4294967296,160538249,11.423530101776123
0,10000,4294967296,192645898,11.365603923797607
0,10000,4294967296,231175078,11.277824878692627
0,10000,4294967296,277410094,11.323123455047607
0,10000,4294967296,332892113,10.710021734237671
0,10000,4294967296,399470536,10.712266683578491
0,10000,4294967296,479364643,10.254096746444702
0,10000,4294967296,575237571,10.881784677505493
0,10000,4294967296,690285086,11.108227252960205
0,10000,4294967296,828342103,10.950927019119263
0,10000,4294967296,994010524,10.618874549865723
