iomode,bandwidth,total_size,block_size,latency
1,6000,8589934592,131072,208.9665551185608
1,6000,8589934592,262144,66.08379220962524
1,6000,8589934592,524288,54.18274450302124
1,6000,8589934592,1048576,32.09665656089783
1,6000,8589934592,2097152,25.77675771713257
1,6000,8589934592,4194304,20.62152647972107
1,6000,8589934592,8388608,18.10804533958435
1,6000,8589934592,16777216,15.92427945137024
1,6000,8589934592,33554432,13.505466222763062
1,6000,8589934592,67108864,13.397345781326294
1,6000,8589934592,134217728,15.45214295387268
1,6000,8589934592,268435456,12.86265516281128
1,6000,8589934592,536870912,13.740753173828125
1,6000,8589934592,1073741824,13.126423597335815
