iomode,bandwidth,total_size,block_size,latency
1,9000,1073741824,131072,6.868900775909424
1,9000,1073741824,262144,3.884721279144287
1,9000,1073741824,524288,3.535414934158325
1,9000,1073741824,1048576,2.8864169120788574
1,9000,1073741824,2097152,2.6000421047210693
1,9000,1073741824,4194304,1.850773572921753
1,9000,1073741824,8388608,1.450688123703003
1,9000,1073741824,16777216,1.2965376377105713
1,9000,1073741824,33554432,1.3581480979919434
1,9000,1073741824,67108864,1.3099400997161865
1,9000,1073741824,134217728,1.3495922088623047
1,9000,1073741824,268435456,1.3403241634368896
1,9000,1073741824,536870912,1.224189281463623
1,9000,1073741824,1073741824,1.2050683498382568
