threadpool_size,block_size,batch_completion_time
1,20,2.6525585182345646
1,80,2.6595851807691613
8,20,2.967544628941283
2,260,2.8783126004861326
1,140,2.6621120684487476
4,160,4.367259732265862
8,160,4.928672927545041
2,120,2.7402391981591983
2,120,2.6981279902555504
2,80,2.7321950214736317
