iomode,bandwidth,total_size,block_size,latency
1,1000,4294967296,131072,109.20900821685791
1,1000,4294967296,262144,41.32617211341858
1,1000,4294967296,524288,39.65788722038269
1,1000,4294967296,1048576,38.515750885009766
1,1000,4294967296,2097152,37.707741260528564
1,1000,4294967296,4194304,53.73002362251282
1,1000,4294967296,8388608,54.30237674713135
1,1000,4294967296,16777216,36.319220542907715
1,1000,4294967296,33554432,36.21718096733093
1,1000,4294967296,67108864,36.16317296028137
1,1000,4294967296,134217728,36.10600137710571
1,1000,4294967296,268435456,58.53022909164429
1,1000,4294967296,536870912,44.93059253692627
1,1000,4294967296,1073741824,36.05586504936218
