iomode,bandwidth,total_size,block_size,latency
1,2000,4294967296,131072,115.76879048347473
1,2000,4294967296,262144,58.79091215133667
1,2000,4294967296,524288,29.497227430343628
1,2000,4294967296,1048576,27.861764192581177
1,2000,4294967296,2097152,27.358213424682617
1,2000,4294967296,4194304,21.55774426460266
1,2000,4294967296,8388608,19.860646724700928
1,2000,4294967296,16777216,18.861753702163696
1,2000,4294967296,33554432,18.669475317001343
1,2000,4294967296,67108864,18.514612674713135
1,2000,4294967296,134217728,18.35419225692749
1,2000,4294967296,268435456,18.292699098587036
1,2000,4294967296,536870912,23.676514625549316
1,2000,4294967296,1073741824,18.12216567993164
