iomode,bandwidth,total_size,block_size,latency
1,1000,4294967296,131072,151.02068901062012
1,1000,4294967296,262144,101.5675995349884
1,1000,4294967296,524288,58.4780969619751
1,1000,4294967296,1048576,59.16577076911926
1,1000,4294967296,2097152,43.56902742385864
1,1000,4294967296,4194304,56.60713315010071
1,1000,4294967296,8388608,64.57724237442017
1,1000,4294967296,16777216,56.355759620666504
1,1000,4294967296,33554432,54.78206396102905
1,1000,4294967296,67108864,54.26833915710449
1,1000,4294967296,134217728,37.28211522102356
1,1000,4294967296,268435456,41.66487240791321
1,1000,4294967296,536870912,36.247557401657104
1,1000,4294967296,1073741824,36.17358040809631
