iomode,bandwidth,total_size,block_size,latency
1,5000,2147483648,131072,22.430047750473022
1,5000,2147483648,262144,11.285808563232422
1,5000,2147483648,524288,7.976668357849121
1,5000,2147483648,1048576,7.325562238693237
1,5000,2147483648,2097152,6.912665128707886
1,5000,2147483648,4194304,5.173842430114746
1,5000,2147483648,8388608,4.473809242248535
1,5000,2147483648,16777216,4.239353895187378
1,5000,2147483648,33554432,3.959409713745117
1,5000,2147483648,67108864,3.861503839492798
1,5000,2147483648,134217728,3.8182711601257324
1,5000,2147483648,268435456,4.506211042404175
1,5000,2147483648,536870912,4.45335578918457
1,5000,2147483648,1073741824,3.7234299182891846
