iomode,bandwidth,total_size,block_size,latency
1,4000,4294967296,131072,121.76089406013489
1,4000,4294967296,262144,45.20107102394104
1,4000,4294967296,524288,29.071421146392822
1,4000,4294967296,1048576,21.914698123931885
1,4000,4294967296,2097152,39.09964084625244
1,4000,4294967296,4194304,13.907501459121704
1,4000,4294967296,8388608,18.368204593658447
1,4000,4294967296,16777216,11.93884825706482
1,4000,4294967296,33554432,10.757390260696411
1,4000,4294967296,67108864,18.958667755126953
1,4000,4294967296,134217728,11.765727519989014
1,4000,4294967296,268435456,12.373891592025757
1,4000,4294967296,536870912,16.003276109695435
1,4000,4294967296,1073741824,9.612481832504272
