iomode,bandwidth,total_size,block_size,latency
1,1000,4294967296,131072,154.89899492263794
1,1000,4294967296,157286,112.00374722480774
1,1000,4294967296,188743,108.43822956085205
1,1000,4294967296,226492,119.42792248725891
1,1000,4294967296,271790,100.69925451278687
1,1000,4294967296,326149,86.70795607566833
1,1000,4294967296,391378,56.525845766067505
1,1000,4294967296,469654,51.36497616767883
1,1000,4294967296,563585,47.26504635810852
1,1000,4294967296,676302,50.82195472717285
1,1000,4294967296,811563,44.97201681137085
1,1000,4294967296,973875,56.104161977767944
1,1000,4294967296,1168651,44.5440878868103
1,1000,4294967296,1402381,61.81752038002014
1,1000,4294967296,1682857,42.20505905151367
1,1000,4294967296,2019429,54.910486698150635
1,1000,4294967296,2423314,41.80421710014343
1,1000,4294967296,2907977,42.057642698287964
1,1000,4294967296,3489573,53.19258141517639
1,1000,4294967296,4187488,40.20194053649902
1,1000,4294967296,5024985,59.896490812301636
1,1000,4294967296,6029983,64.75896716117859
1,1000,4294967296,7235979,49.7218599319458
1,1000,4294967296,8683175,38.211108684539795
1,1000,4294967296,10419810,47.024271726608276
1,1000,4294967296,12503772,56.73356771469116
1,1000,4294967296,15004527,56.83386945724487
1,1000,4294967296,18005432,55.11659550666809
1,1000,4294967296,21606519,60.58515453338623
1,1000,4294967296,25927823,57.73084807395935
1,1000,4294967296,31113388,53.692087173461914
1,1000,4294967296,37336065,51.5878746509552
1,1000,4294967296,44803279,37.130200147628784
1,1000,4294967296,53763934,43.99919819831848
1,1000,4294967296,64516721,55.22335147857666
1,1000,4294967296,77420066,71.80858993530273
1,1000,4294967296,92904079,62.526015281677246
1,1000,4294967296,111484895,65.9875156879425
1,1000,4294967296,133781874,90.58246421813965
1,1000,4294967296,160538249,71.78018450737
1,1000,4294967296,192645898,52.28813672065735
1,1000,4294967296,231175078,67.3658995628357
1,1000,4294967296,277410094,54.444897174835205
1,1000,4294967296,332892113,57.71286201477051
1,1000,4294967296,399470536,54.97374701499939
1,1000,4294967296,479364643,49.73267483711243
1,1000,4294967296,575237571,48.38450026512146
1,1000,4294967296,690285086,46.58696937561035
1,1000,4294967296,828342103,47.050793409347534
1,1000,4294967296,994010524,44.687973737716675
