iomode,bandwidth,total_size,block_size,latency
1,5000,4294967296,131072,48.697328090667725
1,5000,4294967296,157286,41.21243977546692
1,5000,4294967296,188743,36.002673625946045
1,5000,4294967296,226492,32.741721868515015
1,5000,4294967296,271790,27.914332389831543
1,5000,4294967296,326149,26.120826482772827
1,5000,4294967296,391378,21.837251901626587
1,5000,4294967296,469654,20.45973801612854
1,5000,4294967296,563585,16.166568279266357
1,5000,4294967296,676302,15.123993873596191
1,5000,4294967296,811563,13.967046022415161
1,5000,4294967296,973875,14.487894535064697
1,5000,4294967296,1168651,13.490042448043823
1,5000,4294967296,1402381,13.283694982528687
1,5000,4294967296,1682857,14.102676153182983
1,5000,4294967296,2019429,14.729135751724243
1,5000,4294967296,2423314,12.574683427810669
1,5000,4294967296,2907977,12.39134931564331
1,5000,4294967296,3489573,10.597272396087646
1,5000,4294967296,4187488,11.677371978759766
1,5000,4294967296,5024985,9.597874402999878
1,5000,4294967296,6029983,9.325991868972778
1,5000,4294967296,7235979,10.630587100982666
1,5000,4294967296,8683175,8.923089742660522
1,5000,4294967296,10419810,8.556249618530273
1,5000,4294967296,12503772,8.281336545944214
1,5000,4294967296,15004527,8.047971963882446
1,5000,4294967296,18005432,7.944937467575073
1,5000,4294967296,21606519,10.181710004806519
1,5000,4294967296,25927823,7.8231000900268555
1,5000,4294967296,31113388,10.476078271865845
1,5000,4294967296,37336065,7.928747653961182
1,5000,4294967296,44803279,10.95083236694336
1,5000,4294967296,53763934,7.828891038894653
1,5000,4294967296,64516721,7.828185081481934
1,5000,4294967296,77420066,7.70175313949585
1,5000,4294967296,92904079,7.702159881591797
1,5000,4294967296,111484895,9.685556888580322
1,5000,4294967296,133781874,8.419718980789185
1,5000,4294967296,160538249,7.7453837394714355
1,5000,4294967296,192645898,9.194000482559204
1,5000,4294967296,231175078,8.935101985931396
1,5000,4294967296,277410094,7.437819242477417
1,5000,4294967296,332892113,7.529887676239014
1,5000,4294967296,399470536,8.738071918487549
1,5000,4294967296,479364643,7.973442316055298
1,5000,4294967296,575237571,8.280608654022217
1,5000,4294967296,690285086,8.819921731948853
1,5000,4294967296,828342103,7.4295854568481445
1,5000,4294967296,994010524,7.188730001449585
