iomode,bandwidth,total_size,block_size,latency
1,2000,4294967296,131072,59.91965293884277
1,2000,4294967296,157286,50.944066762924194
1,2000,4294967296,188743,58.84198546409607
1,2000,4294967296,226492,40.102489709854126
1,2000,4294967296,271790,55.353896379470825
1,2000,4294967296,326149,50.728384494781494
1,2000,4294967296,391378,31.257610082626343
1,2000,4294967296,469654,29.946134328842163
1,2000,4294967296,563585,28.392848253250122
1,2000,4294967296,676302,26.476238489151
1,2000,4294967296,811563,41.51377725601196
1,2000,4294967296,973875,24.930017232894897
1,2000,4294967296,1168651,24.744447231292725
1,2000,4294967296,1402381,39.25875425338745
1,2000,4294967296,1682857,24.625264406204224
1,2000,4294967296,2019429,33.830254793167114
1,2000,4294967296,2423314,23.467013597488403
1,2000,4294967296,2907977,22.67948079109192
1,2000,4294967296,3489573,21.961993932724
1,2000,4294967296,4187488,21.358404636383057
1,2000,4294967296,5024985,24.440545558929443
1,2000,4294967296,6029983,20.200944185256958
1,2000,4294967296,7235979,28.397027730941772
1,2000,4294967296,8683175,21.44708561897278
1,2000,4294967296,10419810,28.87981915473938
1,2000,4294967296,12503772,20.474589586257935
1,2000,4294967296,15004527,25.4454927444458
1,2000,4294967296,18005432,18.71897268295288
1,2000,4294967296,21606519,18.583691120147705
1,2000,4294967296,25927823,21.060421466827393
1,2000,4294967296,31113388,18.44035315513611
1,2000,4294967296,37336065,21.195390701293945
1,2000,4294967296,44803279,24.782575845718384
1,2000,4294967296,53763934,18.2910795211792
1,2000,4294967296,64516721,22.342802047729492
1,2000,4294967296,77420066,23.76652717590332
1,2000,4294967296,92904079,18.44039273262024
1,2000,4294967296,111484895,25.514137268066406
1,2000,4294967296,133781874,18.32253098487854
1,2000,4294967296,160538249,18.776049613952637
1,2000,4294967296,192645898,21.047860622406006
1,2000,4294967296,231175078,17.728466749191284
1,2000,4294967296,277410094,25.702831506729126
1,2000,4294967296,332892113,17.00241446495056
1,2000,4294967296,399470536,24.71638798713684
1,2000,4294967296,479364643,16.26995825767517
1,2000,4294967296,575237571,21.600382089614868
1,2000,4294967296,690285086,17.551443338394165
1,2000,4294967296,828342103,23.345862865447998
1,2000,4294967296,994010524,16.808837175369263
