total_size,file_size,total_time
2,128,6.508134660
2,256,4.479873171
2,512,3.024816113
2,1024,3.123675665
2,2048,2.780391436
2,4096,2.272747672
2,8192,1.608839710
2,16384,1.673475287
2,32768,2.009602882
2,65536,1.971579919
2,131072,1.666222474
4,128,13.252434360
4,256,9.366739666
4,512,7.143297378
4,1024,5.700596784
4,2048,5.095236701
4,4096,4.646288701
4,8192,4.004669187
4,16384,3.799026939
4,32768,3.866306139
4,65536,3.981213336
4,131072,3.422922139
8,128,29.603614732
8,256,18.105435184
8,512,13.446219208
8,1024,10.676850239
8,2048,9.290187013
8,4096,9.003402516
8,8192,7.223895165
8,16384,6.809504162
8,32768,6.162567070
8,65536,6.740752796
8,131072,5.759375171
