total_size,file_size,total_time
2,128,.633092148
2,256,.532236332
2,512,.480762200
2,1024,.447511479
2,2048,.426054047
2,4096,.443658890
2,8192,.468714826
2,16384,.523768776
2,32768,1.065345377
2,65536,1.109725282
2,131072,1.304182021
4,128,1.172762030
4,256,.955169629
4,512,.848637731
4,1024,.877454634
4,2048,.741047451
4,4096,.740980446
4,8192,.825996412
4,16384,.913540469
4,32768,2.013721873
4,65536,2.037368942
4,131072,1.844972389
8,128,2.306444102
8,256,1.787264183
8,512,1.533872561
8,1024,1.408122490
8,2048,1.475814700
8,4096,1.351104965
8,8192,1.523562188
8,16384,2.017555296
8,32768,3.604373693
8,65536,3.750537744
8,131072,3.722921988
16,128,4.922628696
16,256,3.368236671
16,512,2.820659472
16,1024,2.587762190
16,2048,2.474065503
16,4096,2.602136738
16,8192,2.809989295
16,16384,3.214931467
16,32768,6.800434722
16,65536,7.049712056
16,131072,6.788232819
32,128,45.628821915
32,256,22.199267974
32,512,21.256203891
32,1024,17.614645067
32,2048,16.857423275
32,4096,14.389027812
32,8192,14.547466092
32,16384,12.418554623
32,32768,18.333075452
32,65536,18.439759516
32,131072,18.062383675
