total_size,file_size,total_time
2,128,6.559398523
2,256,4.190712470
2,512,3.021272092
2,1024,2.574782411
2,2048,2.421417558
2,4096,2.292914429
2,8192,1.690472307
2,16384,1.911237603
2,32768,1.979677302
2,65536,1.584444125
2,131072,1.750433014
4,128,45.191367951
4,256,41.484222970
4,512,39.498724781
4,1024,38.494503145
4,2048,38.043092906
4,4096,36.868351787
4,8192,36.415334139
4,16384,36.228743332
4,32768,36.333198214
4,65536,36.233460685
4,131072,36.201226063
8,128,89.952490561
8,256,82.386515573
8,512,78.544834944
8,1024,76.515411913
8,2048,75.765812635
8,4096,73.622445029
8,8192,72.676414122
8,16384,72.349113649
8,32768,72.549070121
8,65536,72.340616744
8,131072,72.302345524
