iomode,bandwidth,total_size,block_size,latency
1,13000,2147483648,131072,6.190080404281616
1,13000,2147483648,262144,4.0240395069122314
1,13000,2147483648,524288,3.2370541095733643
1,13000,2147483648,1048576,2.7165417671203613
1,13000,2147483648,2097152,2.582113027572632
1,13000,2147483648,4194304,2.056013584136963
1,13000,2147483648,8388608,1.760892391204834
1,13000,2147483648,16777216,1.6526055335998535
1,13000,2147483648,33554432,1.8425989151000977
1,13000,2147483648,67108864,1.7522056102752686
1,13000,2147483648,134217728,1.9827158451080322
1,13000,2147483648,268435456,1.7201805114746094
1,13000,2147483648,536870912,1.6747581958770752
1,13000,2147483648,1073741824,1.6928415298461914
