iomode,bandwidth,total_size,block_size,latency
1,7000,1073741824,131072,3.771355628967285
1,7000,1073741824,262144,6.329567193984985
1,7000,1073741824,524288,2.07008957862854
1,7000,1073741824,1048576,2.0286524295806885
1,7000,1073741824,2097152,1.9449737071990967
1,7000,1073741824,4194304,1.6436891555786133
1,7000,1073741824,8388608,1.5002429485321045
1,7000,1073741824,16777216,1.427239179611206
1,7000,1073741824,33554432,1.4448704719543457
1,7000,1073741824,67108864,1.9217848777770996
1,7000,1073741824,134217728,1.3402690887451172
1,7000,1073741824,268435456,1.3298020362854004
1,7000,1073741824,536870912,1.312849521636963
1,7000,1073741824,1073741824,1.3011298179626465
