iomode,bandwidth,total_size,block_size,latency
1,7000,4294967296,131072,31.77029848098755
1,7000,4294967296,262144,19.34844422340393
1,7000,4294967296,524288,9.168147563934326
1,7000,4294967296,1048576,7.659130334854126
1,7000,4294967296,2097152,9.19806981086731
1,7000,4294967296,4194304,6.441792249679565
1,7000,4294967296,8388608,5.836835861206055
1,7000,4294967296,16777216,8.092413187026978
1,7000,4294967296,33554432,5.60834813117981
1,7000,4294967296,67108864,5.465825796127319
1,7000,4294967296,134217728,5.414122104644775
1,7000,4294967296,268435456,13.259222507476807
1,7000,4294967296,536870912,5.392515420913696
1,7000,4294967296,1073741824,5.582042455673218
