iomode,bandwidth,total_size,block_size,latency
1,17000,2147483648,131072,6.237938165664673
1,17000,2147483648,262144,3.9740004539489746
1,17000,2147483648,524288,3.0440618991851807
1,17000,2147483648,1048576,2.447045087814331
1,17000,2147483648,2097152,2.2554612159729004
1,17000,2147483648,4194304,1.896918535232544
1,17000,2147483648,8388608,1.7066922187805176
1,17000,2147483648,16777216,2.110865592956543
1,17000,2147483648,33554432,1.7759711742401123
1,17000,2147483648,67108864,1.5415043830871582
1,17000,2147483648,134217728,1.5802154541015625
1,17000,2147483648,268435456,1.5757615566253662
1,17000,2147483648,536870912,1.5753755569458008
1,17000,2147483648,1073741824,1.7193207740783691
