iomode,bandwidth,total_size,block_size,latency
1,11000,2147483648,131072,7.601430416107178
1,11000,2147483648,262144,4.682255268096924
1,11000,2147483648,524288,3.7019402980804443
1,11000,2147483648,1048576,2.9861369132995605
1,11000,2147483648,2097152,2.873673677444458
1,11000,2147483648,4194304,2.264622211456299
1,11000,2147483648,8388608,1.9716215133666992
1,11000,2147483648,16777216,1.8615047931671143
1,11000,2147483648,33554432,1.9174468517303467
1,11000,2147483648,67108864,1.9325063228607178
1,11000,2147483648,134217728,1.8762202262878418
1,11000,2147483648,268435456,1.8304271697998047
1,11000,2147483648,536870912,1.8794608116149902
1,11000,2147483648,1073741824,1.8460702896118164
