iomode,bandwidth,total_size,block_size,latency
1,1000,2147483648,131072,35.666912317276
1,1000,2147483648,262144,26.481266975402832
1,1000,2147483648,524288,23.19601845741272
1,1000,2147483648,1048576,25.106961727142334
1,1000,2147483648,2097152,30.499983549118042
1,1000,2147483648,4194304,19.651426076889038
1,1000,2147483648,8388608,18.90000343322754
1,1000,2147483648,16777216,18.447405576705933
1,1000,2147483648,33554432,27.630566596984863
1,1000,2147483648,67108864,22.025413513183594
1,1000,2147483648,134217728,18.231647968292236
1,1000,2147483648,268435456,46.41597557067871
1,1000,2147483648,536870912,18.09749722480774
1,1000,2147483648,1073741824,33.866710901260376
