iomode,bandwidth,total_size,block_size,latency
1,10000,1073741824,131072,17.318920373916626
1,10000,1073741824,262144,4.945262908935547
1,10000,1073741824,524288,3.714975357055664
1,10000,1073741824,1048576,3.4507699012756348
1,10000,1073741824,2097152,3.11248779296875
1,10000,1073741824,4194304,2.099902391433716
1,10000,1073741824,8388608,1.997877597808838
1,10000,1073741824,16777216,1.7904126644134521
1,10000,1073741824,33554432,1.805065631866455
1,10000,1073741824,67108864,1.8675403594970703
1,10000,1073741824,134217728,2.2404537200927734
1,10000,1073741824,268435456,2.198188066482544
1,10000,1073741824,536870912,1.4951210021972656
1,10000,1073741824,1073741824,1.2506613731384277
