iomode,bandwidth,total_size,block_size,latency
1,10000,8589934592,131072,99.05898404121399
1,10000,8589934592,262144,70.07217025756836
1,10000,8589934592,524288,43.276055574417114
1,10000,8589934592,1048576,22.46268367767334
1,10000,8589934592,2097152,17.760769367218018
1,10000,8589934592,4194304,13.482241868972778
1,10000,8589934592,8388608,10.115934133529663
1,10000,8589934592,16777216,9.863049745559692
1,10000,8589934592,33554432,10.596360206604004
1,10000,8589934592,67108864,10.087284088134766
1,10000,8589934592,134217728,13.02391004562378
1,10000,8589934592,268435456,16.671499729156494
1,10000,8589934592,536870912,13.44359803199768
1,10000,8589934592,1073741824,17.04715371131897
