iomode,bandwidth,total_size,block_size,latency
1,9000,1073741824,131072,7.7983174324035645
1,9000,1073741824,262144,3.785501003265381
1,9000,1073741824,524288,2.790969133377075
1,9000,1073741824,1048576,2.7782680988311768
1,9000,1073741824,2097152,2.6624040603637695
1,9000,1073741824,4194304,1.8954849243164062
1,9000,1073741824,8388608,1.5446665287017822
1,9000,1073741824,16777216,2.1478323936462402
1,9000,1073741824,33554432,1.7996561527252197
1,9000,1073741824,67108864,2.1703474521636963
1,9000,1073741824,134217728,1.2685399055480957
1,9000,1073741824,268435456,1.4327096939086914
1,9000,1073741824,536870912,1.3803677558898926
1,9000,1073741824,1073741824,1.8725216388702393
