iomode,bandwidth,total_size,block_size,latency
1,3000,2147483648,131072,24.074391841888428
1,3000,2147483648,262144,23.831793546676636
1,3000,2147483648,524288,10.748484134674072
1,3000,2147483648,1048576,11.302208185195923
1,3000,2147483648,2097152,9.73382568359375
1,3000,2147483648,4194304,7.726977825164795
1,3000,2147483648,8388608,6.933491945266724
1,3000,2147483648,16777216,6.56374192237854
1,3000,2147483648,33554432,9.7364661693573
1,3000,2147483648,67108864,6.258821249008179
1,3000,2147483648,134217728,6.1688573360443115
1,3000,2147483648,268435456,6.152266502380371
1,3000,2147483648,536870912,6.104243755340576
1,3000,2147483648,1073741824,11.982027292251587
