iomode,bandwidth,total_size,block_size,latency
1,9000,2147483648,131072,18.29453134536743
1,9000,2147483648,262144,9.814103841781616
1,9000,2147483648,524288,6.070539712905884
1,9000,2147483648,1048576,5.618103981018066
1,9000,2147483648,2097152,5.332942247390747
1,9000,2147483648,4194304,4.238896131515503
1,9000,2147483648,8388608,2.76725435256958
1,9000,2147483648,16777216,2.542248249053955
1,9000,2147483648,33554432,2.858062505722046
1,9000,2147483648,67108864,2.873990535736084
1,9000,2147483648,134217728,2.539289712905884
1,9000,2147483648,268435456,2.6103575229644775
1,9000,2147483648,536870912,2.6611125469207764
1,9000,2147483648,1073741824,2.5950050354003906
